filename,category,tags,description,permalink,year
BMV-4163.jpg,,,"Martin Johann Schmidt, Die Predigt des Apostels Jacobus Maior, 1764, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/2957,1764
BMV-4178.jpg,,,"Daniel Gran, Aufnahme Dianas in den Olymp, 1732, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/2972,1732
BMV-4207.jpg,,,"Philipp Ferdinand de Hamilton, Ein roter Milan, von isländischen Falken besiegt, 1745, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3001,1745
BMV-4208.jpg,,,"Philipp Ferdinand de Hamilton, Vier Geier verschiedener Art, 1723, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3002,1723
BMV-4223.jpg,,,"Paul Troger, Die Anbetung des Lammes durch die 24 Ältesten, 1748 - 1750, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3017,1748
BMV-4229.jpg,,,"Vinzenz Fischer, Allegorie auf die Übertragung der kaiserlichen Galerie in das Belvedere, 1781, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3023,1781
BMV-4231.jpg,,,"Franz Anton Maulbertsch, Die Heilige Sippe, 1755, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3025,1755
BMV-4232.jpg,,,"Franz Anton Maulbertsch, Die göttliche Vorsehung und Tugenden, 1765, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3026,1765
BMV-4234.jpg,,,"Franz Anton Maulbertsch, Himmelfahrt Mariens, 1764, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3028,1764
BMV-4237.jpg,,,"Joseph Winterhalder d. J. (?), Tugenden, 1765, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3031,1765
BMV-4240.jpg,,,"Daniel Gran, Allegorie auf die glückliche Regierung Mährens, 1734, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3034,1734
BMV-4242.jpg,,,"Johann Michael Rottmayr, Die Opferung Iphigeniens, 1690 - 1691, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3036,1690
BMV-4306.jpg,,,"Unbekannter Künstler, Die Auferstehung Christi, 1750, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3100,1750
BMV-4315.jpg,,,"Martin Johann Schmidt, Nymphe und Faun mit Amor, 1795, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3109,1795
BMV-4344.jpg,,,"Vinzenz Fischer, Himmelfahrt Mariens, 1784, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3138,1784
BMV-4355.jpg,,,"Joseph von Führich, Versuchung der heiligen Gudula, 1836, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3149,1836
BMV-4356.jpg,,,"Unbekannter Künstler, Die Heilige Sippe, 1650, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3150,1650
BMV-4367.jpg,,,"Marx Reichlich und Werkstatt, Hl. Mauritius (Innenseite) und Hl. Sebastian (Außenseite), 1498, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3161,1498
BMV-4462.jpg,,,"Joseph Winterhalder d. J., Christus in der Vorhölle, 1763, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3256,1763
BMV-4487.jpg,,,"Unbekannter Künstler, Enthauptung Johannes des Täufers, 1700 - 1750, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3281,1700
BMV-4541.jpg,,,"Unbekannter Künstler, Madonna mit Kind, Heiligen und Engeln, 1720, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3335,1720
BMV-4573.jpg,,,"Franz Anton Maulbertsch, Allegorie auf eine Preisverteilung an der Wiener Akademie unter Wenzel Anton Fürst von Kaunitz-Rietberg, 1790, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3367,1790
BMV-4827.jpg,,,"Meister von Mondsee, Flucht nach Ägypten, 1497, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3582,1497
BMV-4829.jpg,,,"Meister der Darbringungen, Verkündigung an die hl. Anna, 1430, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3584,1430
BMV-4838.jpg,,,"Rueland Frueauf d. Ä., Verkündigung an Maria, 1490, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3593,1490
BMV-4849.jpg,,,", Die Evangelisten Matthäus und Lukas, 1430, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3604,1430
BMV-4869.jpg,,,", Die Evangelisten Johannes und Markus, 1430, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3624,1430
BMV-4899.jpg,,,"Meister des Albrechtsaltars, Botschaft des Engels an Joachim, 1435, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3654,1435
BMV-4906.jpg,,,"Meister von Schloss Lichtenstein, Botschaft des Engels an Joachim, 1445, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3661,1445
BMV-4909.jpg,,,"Meister der Wiener Anbetung, Geburt (Anbetung) Christi, 1420 - 25, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3664,1420
BMV-4915.jpg,,,"Tiroler Maler, Kreuzigung Christi (""Wiltener Kreuzigung""), 1435, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3670,1435
BMV-4922.jpg,,,"Konrad von Friesach, Madonna des Johannes Hinderkircher, 1445, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3677,1445
BMV-4964.jpg,,,"Oberösterreichischer Maler, Verkündigung an Maria, 1500, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3717,1500
BMV-4965.jpg,,,"Oberösterreichischer Maler, Geburt Christi, 1500, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3718,1500
BMV-5031.jpg,,,"Martin Johann Schmidt, Der Apostel Andreas, 1775, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/3782,1775
BMV-6613.jpg,,,"Bartolomeo Altomonte, Verehrung des Namen Mariae – Der Göttliche Ratschluss zur Erlösung – Engelsturz, 1760, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/5294,1760
BMV-6675.jpg,,,"Johann Peter Krafft, Schimmel vor einer niederen Mauer, 1840 - 1850, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/5356,1840
BMV-6680.jpg,,,"Johann Peter Krafft, Engelssturz, 1830 - 1832, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/5360,1830
BMV-6681.jpg,,,"Johann Peter Krafft, Lobpreisung, 1830 - 1832, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/5361,1830
BMV-6975.jpg,,,"Franz Anton Maulbertsch, Die Blendung Simsons, 1787 - 1790, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/5655,1787
BMV-7105.jpg,,,"Johann Peter Krafft, Heiliger Gregor, 1830 - 1832, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/6889,1830
BMV-7203.jpg,,,"Franz Schrotzberg, Landschaft mit mythologischer Staffage, 1834, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/6991,1834
BMV-7276.jpg,,,"Franz Xaver Wagenschön, Der heilige Florian, 1778, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/7064,1778
BMV-7620.jpg,,,"Unbekannter Künstler, Ausfall Zrinys vor der Festung Szigetvár, 1825, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/7408,1825
BMV-7846.jpg,,,"Franz Schrotzberg, Diana und Endymion, 1836, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/7634,1836
BMV-7859.jpg,,,"Mathias Artaria, Pater Joachim Haspinger unter den kämpfenden Bauern, 1842, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/12543,1842
BMV-7885.jpg,,,"Leopold Löffler Edler von Radymno, Ein griechischer Krieger nimmt Abschied, 1847, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/7673,1847
BMV-8154.jpg,,,"Unbekannter Künstler, Ekstase des heiligen Franziskus, 1700, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/1193,1700
BMV-9310.jpg,,,"Johann Peter Krafft, Skizze zur ""Szene aus dem Tiroler Freiheitskampf"", 1840, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10124,1840
BMV-9314.jpg,,,"Johann Peter Krafft, Kopfstudie zur ""Szene aus dem Tiroler Freiheitskampf"", 1840, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10128,1840
BMV-9315.jpg,,,"Johann Peter Krafft, Kopfstudie zur ""Szene aus dem Tiroler Freiheitskampf"", 1840, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10129,1840
BMV-9320.jpg,,,"Johann Peter Krafft, Kopfstudie zu ""Rückkehr des Kaisers Franz aus Pressburg"", 1828, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10134,1828
BMV-9321.jpg,,,"Johann Peter Krafft, Zwei Kopfstudien zu ""Rückkehr des Kaisers Franz aus Pressburg"", 1828, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10135,1828
BMV-9323a.jpg,,,"Johann Peter Krafft, Studie zur ""Rückkehr des Kaisers Franz aus Pressburg"", 1828, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10626,1828
BMV-9328.jpg,,,"Johann Peter Krafft, Zwei weibliche Studien zu ""Rückkehr des Kaisers Franz aus Pressburg"", 1828, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10142,1828
